product_type,model_name,model_year,capacity_kw,energy_grade,annual_kwh,monthly_kwh,rated_power_w,source
에어컨,LG_WHISEN_OLD_2.5K,2013,2.5,3등급,900,75,950,에너지공단_추정
에어컨,LG_WHISEN_OLD_3.6K,2014,3.6,3등급,1320,110,1280,에너지공단_추정
에어컨,LG_WHISEN_OLD_5.0K,2015,5.0,3등급,1800,150,1750,에너지공단_추정
에어컨,LG_WHISEN_NEW_2.5K,2023,2.5,1등급,660,55,760,에너지공단_실측
에어컨,LG_WHISEN_NEW_3.6K,2023,3.6,1등급,960,80,980,에너지공단_실측
에어컨,LG_WHISEN_NEW_5.0K,2023,5.0,1등급,1200,100,1350,에너지공단_실측
에어컨,LG_DUALCOOL_2.5K,2022,2.5,1등급,640,53,740,에너지공단_실측
에어컨,LG_DUALCOOL_3.6K,2022,3.6,1등급,940,78,950,에너지공단_실측
에어컨,LG_DUALCOOL_5.0K,2022,5.0,1등급,1160,97,1300,에너지공단_실측
에어컨,일반구형_2.5K,2010,2.5,5등급,1080,90,1150,에너지공단_추정
에어컨,일반구형_3.6K,2010,3.6,5등급,1560,130,1600,에너지공단_추정
에어컨,일반구형_5.0K,2010,5.0,5등급,2160,180,2100,에너지공단_추정
